Link,SIC Code,Description,Assessments,Recommendations,Recommended $ Savings
,3769,"Space Vehicle Equipment, Nec",10,76,"$2,782,468"
,3792,Travel Trailers And Campers,18,127,"$7,354,078"
,3795,Tanks And Tank Components,6,43,"$4,344,562"
,3799,"Transportation Equipment, Nec",22,169,"$2,227,897"
,3812,Search And Navigation Equipment,25,159,"$3,038,138"
,3821,Laboratory Apparatus And Furniture,20,157,"$1,660,168"
,3822,Environmental Controls,11,80,"$2,701,364"
,3823,Process Control Instruments,54,413,"$2,305,576"
,3824,Fluid Meters And Counting Devices,19,134,"$795,569"
,3825,Instruments To Measure Electricity,21,132,"$1,473,419"
,3826,Analytical Instruments,31,221,"$5,603,709"
,3827,Optical Instruments And Lenses,30,214,"$1,855,116"
,3829,"Measuring & Controlling Devices, Nec",45,305,"$3,853,561"
,3841,Surgical And Medical Instruments,133,971,"$17,712,105"
,3842,Surgical Appliances And Supplies,65,490,"$6,909,659"
,3843,Dental Equipment And Supplies,17,116,"$557,508"
,3844,X-ray Apparatus And Tubes,5,38,"$175,389"
,3845,Electromedical Equipment,18,114,"$1,894,491"
,3851,Ophthalmic Goods,17,169,"$2,321,375"
,3861,Photographic Equipment And Supplies,22,159,"$1,918,329"
,3873,"Watches, Clocks, Watchcases & Parts",5,35,"$287,184"
,3911,"Jewelry, Precious Metal",4,27,"$241,737"
,3914,Silverware And Plated Ware,4,30,"$213,120"
,3915,"Jeweler's Findings and Materials, and Lapidary Work",1,8,"$23,256"
,3931,Musical Instruments,17,112,"$975,537"
,3942,Dolls And Stuffed Toys,-,-,-
,3944,"Games, Toys, and Children's Vehicles, Except Dolls and Bicycles",18,137,"$1,335,892"
,3949,"Sporting And Athletic Goods, Nec",66,480,"$5,068,894"
,3951,Pens And Mechanical Pencils,14,95,"$2,525,907"
,3952,Lead Pencils And Art Goods,5,33,"$360,196"
,3953,Marking Devices,3,24,"$87,356"
,3955,Carbon Paper And Inked Ribbons,8,74,"$230,414"
,3961,Costume Jewelry,1,9,"$72,219"
,3965,"Fasteners, Buttons, Needles, & Pins",8,67,"$1,834,820"
,3991,Brooms And Brushes,22,147,"$854,857"
,3993,Signs And Advertising Specialities,45,343,"$2,247,910"
,3995,Burial Caskets,11,81,"$1,035,149"
,3996,"Hard Surface Floor Coverings, Nec",15,129,"$3,484,520"
,3999,"Manufacturing Industries, Nec",91,681,"$12,865,486"
