ID,CENTER,FY,SIC,NAICS,STATE,SALES,EMPLOYEES,PLANT_AREA,PRODUCTS,PRODUNITS,PRODLEVEL,PRODHOURS,NUMARS,EC_plant_cost,EC_plant_usage,ED_plant_cost,ED_plant_usage,EF_plant_cost,E2_plant_cost,E2_plant_usage,E3_plant_cost,E3_plant_usage,E4_plant_cost,E4_plant_usage,E5_plant_cost,E5_plant_usage,E6_plant_cost,E6_plant_usage,E7_plant_cost,E7_plant_usage,E8_plant_cost,E8_plant_usage,E9_plant_cost,E9_plant_usage,E10_plant_cost,E10_plant_usage,E11_plant_cost,E11_plant_usage,E12_plant_cost,E12_plant_usage,W0_plant_cost,W0_plant_usage,W1_plant_cost,W1_plant_usage,W2_plant_cost,W2_plant_usage,W3_plant_cost,W3_plant_usage,W4_plant_cost,W4_plant_usage,W5_plant_cost,W5_plant_usage,W6_plant_cost,W6_plant_usage
AM0082,AM,1990.0,3537.0,,TX,11000000.0,125.0,,HYDRAULIC EQUIPMENT,1.0,1500.0,4692.0,7.0,119791.0,1997655.0,,,,48561.0,10135.0,,,4100.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0083,AM,1990.0,3533.0,,TX,30000000.0,225.0,,OIL FIELD EQUIPMENT,1.0,40.0,2250.0,9.0,269121.0,5092907.0,,,,82011.0,17164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0084,AM,1990.0,3443.0,,TX,13000000.0,128.0,,SHELL TUBE HEAT EXCHANGE MANUFACTURE,,,5872.0,7.0,81475.0,1283998.0,,,,10426.0,2415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0085,AM,1990.0,3423.0,,TX,13000000.0,170.0,,AGRICULTURE MACHINERY,1.0,22690.0,2265.0,11.0,91147.0,1089390.0,,,,617.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0086,AM,1990.0,3086.0,,TX,11000000.0,93.0,,"FOAMED PLASTIC, PADDING",6.0,123750.0,6264.0,9.0,127928.0,2441090.0,,,,73039.0,16008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0087,AM,1990.0,3632.0,,TX,27000000.0,250.0,,SMALL FREEZERS,1.0,1220000.0,4267.0,5.0,120508.0,2123974.0,,,,97271.0,23478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0088,AM,1990.0,3053.0,,TX,2500000.0,18.0,,MOLDED RUBBER GASKETS,1.0,3000000.0,7680.0,7.0,56895.0,960141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0089,AM,1990.0,3648.0,,TX,11700000.0,107.0,,STREET LIGHTING STANDARDS,1.0,30000.0,8736.0,9.0,87946.0,1438453.0,,,,37212.0,10755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0090,AM,1990.0,3261.0,,TX,11000000.0,125.0,,VITREOUS CHINA WARE,1.0,500000.0,8736.0,6.0,221474.0,3450176.0,,,,399208.0,148950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0091,AM,1990.0,2491.0,,TX,12000000.0,95.0,,TREATED LUMBER,6.0,1800.0,8712.0,12.0,137743.0,1986811.0,,,,3575.0,968.0,,,,,,,,,,,,,42720.0,489856.0,,,,,,,,,,,,,,,,,,,,
